NLoad	Load	Time	
0.000000	1029.367676	10.080000
0.000000	1014.781494	10.104000
0.000000	1021.727295	10.127000
0.000000	997.416992	10.151000
0.000000	1018.948975	10.174000
0.000000	1050.205078	10.197000
0.000000	1031.451416	10.220000
0.000000	1012.003174	10.242000
0.000000	1026.589355	10.266000
0.000000	1013.392334	10.289000
0.000000	1043.259277	10.313000
0.000000	1032.145996	10.336000
0.000000	1037.008057	10.359000
0.000000	1037.008057	10.382000
0.000000	1002.279053	10.405000
0.000000	1025.200195	10.428000
0.000000	1016.865234	10.450000
0.000000	1021.032715	10.474000
0.000000	1015.476074	10.497000
0.000000	1009.919434	10.521000
0.000000	1020.338135	10.544000
0.000000	1006.446533	10.567000
0.000000	1013.392334	10.590000
0.000000	1039.091797	10.613000
0.000000	1013.392334	10.636000
0.000000	1012.003174	10.658000
0.000000	1034.229736	10.682000
0.000000	1023.116455	10.705000
0.000000	1038.397217	10.729000
0.000000	1030.062256	10.752000
0.000000	1038.397217	10.776000
0.000000	1028.673096	10.799000
0.000000	1021.032715	10.822000
0.000000	1036.313477	10.845000
0.000000	1023.811035	10.867000
0.000000	1024.505615	10.891000
0.000000	1039.091797	10.914000
0.000000	1019.643555	10.938000
0.000000	1043.953857	10.961000
0.000000	1024.505615	10.984000
0.000000	1005.057373	11.007000
0.000000	1028.673096	11.033000
0.000000	1021.727295	11.057000
0.000000	1027.978516	11.080000
0.000000	1010.614014	11.104000
0.000000	1022.421875	11.127000
0.000000	1001.584473	11.151000
0.000000	1018.254395	11.174000
0.000000	1033.535156	11.197000
0.000000	1020.338135	11.220000
0.000000	1014.086914	11.242000
0.000000	1031.451416	11.266000
0.000000	1020.338135	11.289000
0.000000	1027.283936	11.313000
0.000000	1004.362793	11.336000
0.000000	1018.948975	11.359000
0.000000	1026.589355	11.382000
0.000000	1032.145996	11.405000
0.000000	1027.978516	11.428000
0.000000	1016.865234	11.450000
0.000000	1030.756836	11.474000
0.000000	1049.510498	11.497000
0.000000	1010.614014	11.521000
0.000000	1023.811035	11.544000
0.000000	1021.727295	11.567000
0.000000	1024.505615	11.590000
0.000000	1025.200195	11.613000
0.000000	1021.032715	11.636000
0.000000	1025.894775	11.658000
0.000000	1033.535156	11.682000
0.000000	1016.170654	11.705000
0.000000	1034.229736	11.729000
0.000000	1014.781494	11.752000
0.000000	1035.618896	11.776000
0.000000	1048.815918	11.799000
0.000000	1018.254395	11.822000
0.000000	1014.781494	11.845000
0.000000	1034.229736	11.867000
0.000000	1023.116455	11.891000
0.000000	1032.840576	11.914000
0.000000	1007.835693	11.938000
0.000000	1023.116455	11.961000
0.000000	1017.559814	11.984000
0.000000	1012.003174	12.007000
0.000000	1031.451416	12.030000
0.000000	1021.727295	12.053000
