Load	Ext	Time
-21.362305	-1.418078	35.004002
-18.920898	-1.415797	35.205002
-19.531250	-1.416527	35.403000
-7.324219	-1.416710	35.605999
-17.089844	-1.415797	35.803001
-14.648437	-1.416162	35.999001
-15.869141	-1.415523	36.202999
-14.648437	-1.415706	36.405998
-15.258789	-1.414337	36.603001
-19.531250	-1.415432	36.803001
-17.700195	-1.415341	37.002998
-17.700195	-1.414976	37.203999
-31.738281	-1.414611	37.403000
-18.920898	-1.414520	37.605999
-21.362305	-1.414428	37.800999
-15.869141	-1.414428	38.004002
-14.648437	-1.413698	38.206001
-14.648437	-1.413242	38.405998
-15.869141	-1.412968	38.603001
-13.427734	-1.413151	38.799999
-14.038086	-1.412512	39.002998
-17.089844	-1.413151	39.202999
-14.648437	-1.412147	39.404999
-17.089844	-1.411782	39.601002
-18.310547	-1.412695	39.799999
-15.869141	-1.411600	40.001999
-22.583008	-1.412695	40.202000
-26.245117	-1.411691	40.404999
-15.258789	-1.409775	40.602001
-15.258789	-1.410596	40.806000
-17.089844	-1.409227	41.006001
-14.648437	-1.411417	41.206001
-15.869141	-1.410779	41.404999
-15.869141	-1.410414	41.603001
-15.258789	-1.410140	41.806000
-18.920898	-1.410140	42.005001
-16.479492	-1.409501	42.206001
-29.296875	-1.410231	42.405998
-18.310547	-1.409592	42.601002
-16.479492	-1.407585	42.804001
-16.479492	-1.409410	43.005001
-31.127930	-1.408406	43.202000
-15.258789	-1.408862	43.401001
-21.362305	-1.409227	43.602001
-17.089844	-1.407767	43.803001
-19.531250	-1.407767	44.001999
-17.700195	-1.407950	44.207001
-15.869141	-1.407950	44.403000
-15.258789	-1.406855	44.602001
-18.310547	-1.407037	44.801998
-7.934570	-1.406034	45.005001
-15.869141	-1.406672	45.202999
-15.869141	-1.407129	45.404999
-17.700195	-1.407220	45.602001
-14.038086	-1.406034	45.801998
-14.648437	-1.406216	46.004002
-18.310547	-1.404665	46.202000
-14.648437	-1.405395	46.407001
-15.258789	-1.405486	46.609001
-15.258789	-1.405851	46.804001
-15.258789	-1.405942	47.001999
-18.310547	-1.403752	47.205002
-23.803711	-1.405395	47.407001
-15.869141	-1.404574	47.599998
-15.258789	-1.404482	47.806000
-15.869141	-1.404026	48.002998
-15.869141	-1.403570	48.203999
-17.089844	-1.403296	48.405998
-29.296875	-1.405304	48.602001
-15.258789	-1.403387	48.806000
-14.648437	-1.402840	49.002998
-17.089844	-1.403387	49.203999
-20.141602	-1.402749	49.405998
-17.089844	-1.402292	49.603001
-13.427734	-1.402931	49.806000
-20.751953	-1.402475	50.001999
-19.531250	-1.401836	50.205002
-15.869141	-1.401562	50.403999
-6.103516	-1.401198	50.605999
-20.751953	-1.401836	50.804001
-8.544922	-1.401198	51.001999
-20.751953	-1.400924	51.202999
-21.362305	-1.400650	51.403999
-16.479492	-1.401380	51.606998
-10.986328	-1.399738	51.806000
-13.427734	-1.400559	52.004002
-18.920898	-1.399738	52.207001
-18.310547	-1.399008	52.403999
-15.258789	-1.399646	52.605999
-17.089844	-1.398916	52.806999
-11.596680	-1.399281	53.005001
-26.245117	-1.398643	53.205002
-7.324219	-1.399281	53.405998
-17.700195	-1.398734	53.608002
-16.479492	-1.398095	53.806000
-15.869141	-1.397639	54.002998
-17.700195	-1.398186	54.201000
-14.038086	-1.397913	54.407001
-15.258789	-1.397548	54.606998
-13.427734	-1.397183	54.805000
-11.596680	-1.397183	55.006001
-11.596680	-1.396361	55.202999
-7.324219	-1.396179	55.403999
-11.596680	-1.397000	55.610001
-10.375977	-1.397548	55.805000
-2.441406	-1.396270	56.005001
-3.051758	-1.395996	56.205002
0.610352	-1.396726	56.405998
-1.220703	-1.395175	56.605999
13.427734	-1.395358	56.804001
5.493164	-1.395540	57.005001
14.038086	-1.394536	57.207001
14.038086	-1.392712	57.407001
16.479492	-1.394628	57.603001
