Time	Load
27.857	6.714
27.861	4.272
27.865	3.052
27.891	6.714
27.927	2.441
27.957	6.714
27.992	1.831
27.998	1.221
28.033	7.935
28.065	-7.324
28.098	4.883
28.131	3.052
28.159	1.831
28.191	6.714
28.196	3.052
28.204	-1.221
28.233	6.104
28.269	3.662
28.295	1.221
28.299	9.766
28.307	-7.935
28.351	10.986
28.378	3.662
28.383	5.493
28.390	5.493
28.445	-4.272
28.481	1.221
28.526	1.831
28.562	4.272
28.608	7.935
28.613	8.545
28.618	4.272
28.663	3.052
28.694	8.545
28.698	7.935
28.706	4.272
28.734	0.610
28.770	4.272
28.799	5.493
28.804	0.610
28.830	6.104
28.865	4.272
28.897	4.272
28.928	1.831
28.965	3.052
29.000	5.493
29.005	2.441
29.030	9.766
29.069	3.662
29.105	3.052
29.150	1.831
29.186	2.441
29.190	-0.610
29.196	3.662
29.234	4.272
29.238	1.221
29.243	5.493
29.269	6.104
29.304	4.272
29.335	3.662
29.367	6.104
29.399	1.831
29.404	3.052
29.412	3.052
29.457	2.441
29.485	1.831
29.489	0.610
29.497	3.662
29.539	4.272
29.544	1.831
29.558	2.441
29.602	5.493
29.642	4.272
29.646	-6.714
29.649	-7.324
29.675	5.493
29.713	-7.935
29.748	4.883
29.795	-6.714
29.801	4.272
29.826	4.883
29.872	10.376
29.918	0.610
29.965	3.662
30.006	6.714
30.011	2.441
30.036	6.104
30.070	5.493
30.103	2.441
30.130	6.104
30.166	12.207
30.196	1.831
30.201	3.052
30.227	3.052
30.265	6.714
30.296	0.610
30.327	4.883
30.360	8.545
30.392	-6.104
30.397	4.272
30.401	-0.610
30.439	7.935
30.471	4.272
30.475	12.207
30.482	4.883
30.521	3.662
30.546	4.272
30.578	8.545
30.583	3.052
30.608	3.662
30.655	2.441
30.694	1.221
30.731	3.662
30.776	1.221
30.805	4.272
30.810	5.493
30.836	4.883
30.871	1.221
30.903	1.831
30.942	1.831
30.979	0.610
31.009	7.324
31.014	4.272
31.039	8.545
31.071	9.766
31.106	4.272
31.151	6.104
31.184	2.441
31.190	5.493
31.222	3.052
31.254	5.493
31.286	-8.545
31.318	3.662
31.352	1.221
31.357	1.831
31.364	7.324
31.397	0.000
31.423	3.052
31.457	6.714
31.482	4.883
31.515	3.662
31.519	5.493
31.526	3.662
31.572	3.662
31.603	3.662
31.607	-0.610
31.611	0.610
31.637	1.831
31.682	0.000
31.713	3.052
31.749	4.272
31.788	4.883
31.793	4.883
31.819	3.052
31.856	3.052
31.859	-6.714
31.863	4.883
31.871	3.052
31.914	4.883
31.958	0.610
31.983	2.441
31.987	1.831
31.994	3.662
32.019	3.662
32.054	7.935
32.082	3.662
32.120	3.662
32.166	6.714
32.193	3.052
32.198	3.052
32.225	9.155
32.256	0.610
32.292	4.272
32.320	9.155
32.353	2.441
32.383	1.221
32.389	6.104
32.414	3.052
32.446	1.831
32.482	6.104
32.527	2.441
32.571	-3.662
32.607	2.441
32.612	7.935
32.620	3.052
32.663	4.272
32.667	3.052
32.675	4.272
32.707	6.104
32.732	4.272
32.737	5.493
32.742	9.766
32.768	2.441
32.815	3.662
32.852	1.831
32.883	5.493
32.887	1.831
32.911	3.052
32.939	-4.883
32.976	6.104
33.009	4.272
33.014	2.441
33.040	1.221
33.070	-8.545
33.102	3.662
33.131	8.545
33.163	3.662
33.194	4.272
33.199	4.883
33.226	5.493
33.254	1.831
33.289	7.324
33.318	1.831
33.351	6.104
33.380	3.662
33.385	-0.610
33.410	6.104
33.457	4.883
33.482	5.493
33.518	3.662
33.550	9.766
33.554	4.883
33.580	3.662
33.627	1.221
33.659	6.104
33.663	0.610
33.671	1.831
33.703	1.831
33.732	-6.714
33.736	3.662
33.741	0.610
33.769	3.052
33.773	5.493
33.800	-9.766
33.835	6.714
33.864	6.104
33.900	1.831
33.936	7.935
33.975	2.441
34.009	4.883
34.013	-1.831
34.038	3.052
34.068	4.883
34.104	0.000
34.132	3.052
34.166	1.221
34.193	1.831
34.198	-2.441
34.206	7.324
34.235	-7.935
34.268	3.662
34.299	3.662
34.304	1.831
34.315	4.883
34.353	2.441
34.402	1.221
34.434	-0.610
34.439	1.221
34.468	3.662
34.505	-0.610
34.540	-1.831
34.570	3.662
34.606	-1.831
34.610	4.272
34.615	4.272
34.660	0.000
34.692	3.052
34.722	0.610
34.726	7.324
34.733	3.662
34.766	3.662
34.771	4.883
34.779	4.272
34.833	1.831
34.868	-3.052
34.901	2.441
34.933	3.052
34.962	4.883
34.998	1.221
35.003	5.493
35.029	1.221
35.079	3.662
35.108	5.493
35.141	-9.766
35.146	-0.610
35.172	4.883
35.208	3.662
35.212	2.441
35.238	4.883
35.275	2.441
35.311	4.272
35.355	4.272
35.400	3.052
35.405	3.662
35.413	3.662
35.459	12.207
35.484	0.610
35.489	4.272
35.494	3.662
35.520	10.986
35.556	3.052
35.593	1.221
35.599	3.052
35.625	4.272
35.661	3.052
35.695	9.766
35.727	10.986
35.756	0.000
35.792	1.221
35.797	6.714
35.823	3.052
35.828	5.493
35.857	0.610
35.904	0.610
35.945	1.221
35.982	4.272
35.986	3.662
35.998	1.221
36.030	1.831
36.063	3.662
36.095	1.221
36.100	3.052
36.107	2.441
36.148	5.493
36.194	0.610
36.231	3.662
36.236	3.662
36.244	4.272
36.287	6.714
36.319	1.221
36.353	-4.272
36.396	2.441
36.400	3.052
36.405	3.052
36.442	0.000
36.472	3.662
36.476	3.052
36.483	6.104
36.517	4.272
36.548	5.493
36.577	-4.883
36.581	4.883
36.607	0.610
36.664	3.052
36.707	7.324
36.711	9.766
36.719	7.324
36.752	1.221
36.756	3.052
36.782	4.272
36.827	-1.221
36.860	1.831
36.864	4.883
36.872	-3.662
36.907	3.662
36.911	1.221
36.919	1.221
36.952	3.052
36.984	1.831
36.989	1.221
36.995	3.052
37.020	-3.052
37.056	0.610
37.092	6.104
37.124	2.441
37.173	1.221
37.209	3.662
37.214	4.883
37.240	4.883
37.275	11.597
37.309	3.052
37.357	0.000
37.404	4.272
37.409	1.221
37.421	-1.831
37.451	1.221
37.484	7.324
37.517	-0.610
37.522	3.052
37.525	1.221
37.553	-0.610
37.585	1.221
37.590	2.441
37.618	4.272
37.622	12.207
37.648	4.272
37.684	3.052
37.717	1.831
37.758	4.272
37.796	1.221
37.800	0.000
37.826	1.831
37.872	2.441
37.911	7.935
37.946	4.883
37.982	1.221
37.987	4.883
38.014	9.766
38.060	0.000
38.107	4.272
38.153	1.221
38.187	0.000
38.191	-1.831
38.199	9.766
38.238	4.883
38.274	4.883
38.306	3.662
38.337	11.597
38.362	-10.376
38.395	-0.610
38.399	4.883
38.404	6.104
38.439	4.272
38.471	6.104
38.475	2.441
38.482	2.441
38.515	-1.831
38.546	3.052
38.579	3.662
38.583	-3.052
38.611	3.052
38.647	1.221
38.683	3.662
38.715	3.662
38.747	4.272
38.786	1.831
38.791	4.883
38.818	4.883
38.857	4.883
38.890	3.052
38.894	7.935
38.901	4.883
38.947	-1.831
38.984	5.493
38.989	4.883
38.997	0.000
39.029	3.052
39.033	1.831
39.041	4.883
39.085	1.221
39.107	1.831
39.111	3.052
39.116	0.610
39.143	1.221
39.181	0.000
39.185	3.052
39.211	10.376
39.246	-6.104
39.279	2.441
39.313	4.272
39.349	4.883
39.384	1.221
39.389	1.831
39.415	9.155
39.448	-3.662
39.495	3.052
39.527	1.221
39.556	-1.221
39.593	6.714
39.598	0.000
39.644	0.610
39.648	6.104
39.653	2.441
39.678	1.221
39.716	-9.766
39.756	0.610
39.792	1.831
39.797	6.714
39.823	3.662
39.880	-4.883
39.912	2.441
39.945	0.610
39.982	2.441
39.988	5.493
